# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	21037
#@/user_id	edf49405-f6ee-4acb-88d3-58294728cd25
bu shang ban 	不上班	c=1 d=0.83527 t=21037
bu shi 	不是	c=40 d=5.94187 t=21037
bu shi bu xing 	不是不行	c=1 d=1 t=21037
bu shi he 	不適合	c=4 d=1.27899 t=21037
bu shi ma 	不是嗎	c=1 d=0.506617 t=21037
bu shi wo 	不是我	c=1 d=0.740818 t=21037
bu shu 	部署	c=4 d=1.97786 t=21037
bu shui 	不睡	c=1 d=0.843665 t=21037
bu shuo le 	不說了	c=1 d=0.927743 t=21037
bu sou suo 	不搜索	c=1 d=0.860708 t=21037
bu tai 	不太	c=1 d=0.339596 t=21037
bu tai hao kan 	不太好看	c=1 d=0.900325 t=21037
bu tong 	不同	c=1 d=0.891366 t=21037
bu tong 	不通	c=1 d=0.913931 t=21037
bu tong bu 	不同步	c=1 d=0.99005 t=21037
bu wan mei 	不完美	c=1 d=0.995012 t=21037
bu wei hu 	不維護	c=1 d=0.97531 t=21037
bu wei xian 	不危險	c=1 d=0.909373 t=21037
bu wei xian de 	不危險的	c=1 d=0.932394 t=21037
bu xi huan 	不喜歡	c=2 d=1.39166 t=21037
bu xi wang 	不希望	c=4 d=2.26757 t=21037
bu xia lai 	不下來	c=1 d=0.869358 t=21037
bu xian shi 	不現實	c=3 d=2.27373 t=21037
bu xiang 	不想	c=11 d=3.41219 t=21037
bu xiang 	不詳	c=1 d=0.790571 t=21037
bu xiang rang 	不想讓	c=1 d=0.683861 t=21037
bu xiang wan le 	不想玩了	c=1 d=0.416862 t=21037
bu xiang xue 	不想學	c=1 d=0.20089 t=21037
bu xie 	不寫	c=2 d=1.1309 t=21037
bu xie 	不屑	c=1 d=0.951229 t=21037
bu xin 	不信	c=2 d=0.904837 t=21037
bu xing 	不行	c=34 d=7.93217 t=21037
bu xing le 	不行了	c=5 d=2.17841 t=21037
bu xu yao 	不需要	c=15 d=4.93071 t=21037
bu yao 	不要	c=13 d=4.01279 t=21037
bu yao qian 	不要錢	c=1 d=0.980199 t=21037
bu yao yong 	不要用	c=3 d=1.59252 t=21037
bu yi lai 	不依賴	c=1 d=0.927743 t=21037
bu yi yang 	不一樣	c=1 d=0.995012 t=21037
bu yong 	不用	c=20 d=5.09955 t=21037
bu yong kan 	不用看	c=1 d=0.516851 t=21037
bu yong ni 	不用你	c=1 d=0.118837 t=21037
bu yun xu 	不允許	c=2 d=0.809673 t=21037
bu zai hu 	不在乎	c=1 d=0.985112 t=21037
bu zen me 	不怎麼	c=1 d=0.615697 t=21037
bu zhan 	不佔	c=1 d=0.965605 t=21037
bu zheng chang 	不正常	c=1 d=0.729789 t=21037
bu zheng jing 	不正經	c=1 d=0.465334 t=21037
bu zhi 	不止	c=2 d=1.35646 t=21037
bu zhi chi 	不支持	c=3 d=0.971714 t=21037
bu zhi dao 	不知道	c=29 d=7.48835 t=21037
bu zhi xing 	不執行	c=1 d=1 t=21037
bu zou yun 	不走運	c=1 d=0.414783 t=21037
bu zu 	不足	c=1 d=0.621885 t=21037
bu zu yi 	不足以	c=1 d=0.618783 t=21037
bu zun zhong 	不尊重	c=1 d=0.527292 t=21037
cai 	才	c=7 d=2.66086 t=21037
cai cai 	猜猜	c=1 d=0.740818 t=21037
cai dan 	菜單	c=4 d=3.26673 t=21037
cai dui 	才對	c=2 d=0.570266 t=21037
cai fen 	才分	c=2 d=1.60405 t=21037
cai hong 	彩虹	c=2 d=1.91678 t=21037
cai hui 	才會	c=4 d=1.76748 t=21037
cai ji 	採集	c=1 d=0.759572 t=21037
cai neng 	才能	c=6 d=2.41826 t=21037
cai se 	彩色	c=1 d=0.951229 t=21037
cai shi 	才是	c=3 d=2.2871 t=21037
can kao 	參考	c=1 d=0.878095 t=21037
can pian 	殘片	c=1 d=0.995012 t=21037
can shu 	參數	c=10 d=4.06446 t=21037
can xiang 	慘象	c=1 d=1 t=21037
cang ku 	倉庫	c=12 d=5.1597 t=21037
cao 	草	c=1 d=0.995012 t=21037
cao xin 	操心	c=1 d=0.66365 t=21037
cao zuo 	操作	c=10 d=6.82478 t=21037
ce 	側	c=1 d=0.752014 t=21037
ce bian 	側邊	c=4 d=3.2901 t=21037
ce bian lan 	側邊欄	c=1 d=0.869358 t=21037
ce lve 	策略	c=1 d=0.960789 t=21037
ce shi 	測試	c=5 d=2.78091 t=21037
ceng 	層	c=7 d=3.81823 t=21037
ceng ji 	層級	c=2 d=1.54501 t=21037
cha 	差	c=6 d=4.54196 t=21037
cha 	插	c=2 d=1.40984 t=21037
cha 	查	c=3 d=1.77929 t=21037
cha bu duo 	差不多	c=6 d=3.30623 t=21037
cha bu duo le 	差不多了	c=1 d=0.970446 t=21037
cha jian 	插件	c=22 d=8.27077 t=21037
cha kan 	查看	c=4 d=2.85412 t=21037
cha ku 	查庫	c=1 d=0.980199 t=21037
cha xun 	查詢	c=1 d=0.640824 t=21037
cha zhao 	查找	c=2 d=0.798516 t=21037
chai 	拆	c=6 d=3.79221 t=21037
chai 	柴	c=2 d=0.573039 t=21037
chai cheng 	拆成	c=1 d=0.759572 t=21037
chai fen 	拆分	c=1 d=0.895834 t=21037
chai san 	拆散	c=1 d=0.965605 t=21037
chan ren 	饞人	c=1 d=0.970446 t=21037
chang 	廠	c=1 d=0.212248 t=21037
chang 	長	c=7 d=3.24865 t=21037
chang chang 	嘗嘗	c=2 d=1.24086 t=21037
chang chang 	常常	c=1 d=0.985112 t=21037
chang jia 	廠家	c=1 d=0.826959 t=21037
chang jiang 	長江	c=8 d=5.52565 t=21037
chang jing 	場景	c=1 d=0.398519 t=21037
chang kuan 	長寬	c=2 d=0.886667 t=21037
chang liang 	常量	c=1 d=0.733447 t=21037
chang pian 	唱片	c=3 d=2.18296 t=21037
chang shi 	嘗試	c=6 d=3.16558 t=21037
chang yi dian 	長一點	c=1 d=0.97531 t=21037
chang yong 	常用	c=1 d=0.447088 t=21037
chao 	炒	c=3 d=2.43178 t=21037
